 * Running on http://10.0.0.20:8008/ (Press CTRL+C to quit)
170.140.105.72 - - [05/Sep/2016 20:54:44] "GET /map HTTP/1.1" 200 -
170.140.105.17 - - [05/Sep/2016 20:54:45] "GET /us_geojson HTTP/1.1" 200 -
170.140.105.72 - - [05/Sep/2016 20:54:46] "GET /state_predictit_prediction HTTP/1.1" 200 -
170.140.105.72 - - [05/Sep/2016 20:54:46] "GET /electoral_vote_prediction HTTP/1.1" 200 -
170.140.105.71 - - [05/Sep/2016 20:55:42] "GET /map HTTP/1.1" 200 -
170.140.105.71 - - [05/Sep/2016 20:55:43] "GET /us_geojson HTTP/1.1" 200 -
170.140.105.71 - - [05/Sep/2016 20:55:44] "GET /state_predictit_prediction HTTP/1.1" 200 -
170.140.105.71 - - [05/Sep/2016 20:55:45] "GET /electoral_vote_prediction HTTP/1.1" 200 -
170.140.105.72 - - [05/Sep/2016 21:00:57] "GET /map HTTP/1.1" 200 -
170.140.105.17 - - [05/Sep/2016 21:01:00] "GET /us_geojson HTTP/1.1" 200 -
170.140.105.17 - - [05/Sep/2016 21:01:01] "GET /electoral_vote_prediction HTTP/1.1" 200 -
170.140.105.71 - - [05/Sep/2016 21:01:02] "GET /state_predictit_prediction HTTP/1.1" 200 -
170.140.105.71 - - [05/Sep/2016 21:01:02] "GET /favicon.ico HTTP/1.1" 404 -
170.140.105.71 - - [05/Sep/2016 21:01:02] "GET /favicon.ico HTTP/1.1" 404 -
 * Running on http://10.0.0.20:8008/ (Press CTRL+C to quit)
170.140.104.12 - - [06/Sep/2016 09:49:53] "GET /map HTTP/1.1" 200 -
170.140.104.12 - - [06/Sep/2016 09:49:55] "GET /us_geojson HTTP/1.1" 200 -
170.140.104.12 - - [06/Sep/2016 09:49:56] "GET /state_predictit_prediction HTTP/1.1" 200 -
170.140.104.12 - - [06/Sep/2016 09:49:57] "GET /electoral_vote_prediction HTTP/1.1" 200 -
170.140.104.12 - - [06/Sep/2016 16:15:18] "GET /map HTTP/1.1" 200 -
170.140.104.12 - - [06/Sep/2016 16:15:19] "GET /us_geojson HTTP/1.1" 200 -
170.140.104.12 - - [06/Sep/2016 16:15:20] "GET /electoral_vote_prediction HTTP/1.1" 200 -
170.140.104.12 - - [06/Sep/2016 16:15:21] "GET /state_predictit_prediction HTTP/1.1" 200 -
 * Running on http://10.0.0.20:8008/ (Press CTRL+C to quit)
170.140.105.71 - - [06/Sep/2016 23:56:10] "GET /map HTTP/1.1" 200 -
170.140.105.71 - - [06/Sep/2016 23:56:12] "GET /us_geojson HTTP/1.1" 200 -
170.140.105.71 - - [06/Sep/2016 23:56:13] "GET /state_predictit_prediction HTTP/1.1" 200 -
170.140.105.71 - - [06/Sep/2016 23:56:14] "GET /electoral_vote_prediction HTTP/1.1" 200 -
170.140.104.12 - - [07/Sep/2016 14:40:38] "GET /map HTTP/1.1" 200 -
170.140.104.12 - - [07/Sep/2016 14:40:39] "GET /us_geojson HTTP/1.1" 200 -
170.140.104.12 - - [07/Sep/2016 14:40:40] "GET /state_predictit_prediction HTTP/1.1" 200 -
170.140.104.12 - - [07/Sep/2016 14:40:40] "GET /electoral_vote_prediction HTTP/1.1" 200 -
 * Running on http://10.0.0.20:8008/ (Press CTRL+C to quit)
170.140.105.75 - - [08/Sep/2016 18:52:56] "GET /map HTTP/1.1" 200 -
170.140.105.75 - - [08/Sep/2016 18:52:57] "GET /us_geojson HTTP/1.1" 200 -
170.140.105.75 - - [08/Sep/2016 18:52:58] "GET /state_predictit_prediction HTTP/1.1" 200 -
170.140.105.75 - - [08/Sep/2016 18:52:58] "GET /electoral_vote_prediction HTTP/1.1" 200 -
